replicate,condition,encoder,on_ball,g_fb,drive_dc,drive_mod,dc_share,wall_s,n_active,oversaturated,max_fr,unstable,reason,n_rhythmic,has_rhythm,median_dom_hz,tripod,n_valid_pairs,n_sig_pairs,ball_pitch_rad_s
2,E3,deviation,True,4.0,6.923,3.111,0.69,25.0,4293,True,232.2,False,,3,True,2.57,-0.523,3,1,0.186
2,E3,deviation,True,4.5,6.894,3.111,0.689,24.9,4305,True,232.2,False,,3,True,2.57,-0.431,3,2,0.187
3,E0,signed,False,0.0,0.0,0.0,,23.3,367,False,17.3,False,,4,True,9.14,-0.295,6,1,
3,E3,signed,True,0.0,1.771,0.185,0.905,25.3,367,False,17.3,False,,4,True,9.14,-0.295,6,1,-0.005
3,E3,signed,True,1.0,1.773,0.187,0.905,25.5,372,False,17.3,False,,4,True,9.14,-0.295,6,1,-0.005
3,E3,signed,True,2.0,1.763,0.184,0.906,25.4,376,False,17.3,False,,4,True,9.14,-0.305,6,1,-0.004
3,E3,signed,True,2.5,1.758,0.18,0.907,25.4,381,False,17.5,False,,4,True,9.14,-0.312,6,1,-0.004
3,E3,signed,True,3.0,1.751,0.177,0.908,25.4,396,False,22.5,False,,4,True,9.14,-0.318,6,1,-0.004
3,E3,signed,True,3.5,5.426,2.37,0.696,25.8,4496,True,228.3,False,,1,False,2.86,,0,0,0.171
3,E3,signed,True,4.0,3.159,1.352,0.7,24.6,3797,True,235.0,False,,0,False,,,0,0,-0.034
3,E3,signed,True,4.5,3.238,1.836,0.638,24.6,4710,True,233.0,False,,0,False,,,0,0,0.017
3,E3,deviation,True,0.0,0.447,0.397,0.53,26.2,367,False,17.3,False,,4,True,9.14,-0.295,6,1,-0.005
3,E3,deviation,True,1.0,0.448,0.398,0.529,25.4,370,False,17.3,False,,4,True,9.14,-0.295,6,1,-0.005
3,E3,deviation,True,2.0,0.441,0.392,0.529,25.5,371,False,17.3,False,,4,True,9.14,-0.298,6,1,-0.004
3,E3,deviation,True,2.5,0.436,0.387,0.529,25.4,372,False,17.3,False,,4,True,9.14,-0.3,6,1,-0.004
3,E3,deviation,True,3.0,0.43,0.38,0.53,25.5,376,False,17.3,False,,4,True,9.14,-0.303,6,1,-0.004
3,E3,deviation,True,3.5,0.423,0.374,0.531,25.5,382,False,17.3,False,,4,True,9.14,-0.306,6,1,-0.004
3,E3,deviation,True,4.0,0.417,0.368,0.531,25.4,388,False,20.5,False,,4,True,9.14,-0.308,6,1,-0.004
3,E3,deviation,True,4.5,6.455,1.836,0.779,24.6,3794,True,235.1,False,,1,False,3.43,,0,0,-0.03
